Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-40.04811859  -1.40339053 -11.86963272   0.           0.
   0.          12.          -1.           1.42946982 105.01979065
 359.16531372   0.52267539]",7,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-23.65660477  -1.81477189 -16.41978073   0.           0.5
   0.          12.          -1.           0.9413721  105.73817444
 359.79519653   0.79689372]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.23576908e+01 -1.83595502e+00 -1.67880478e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.01023757e-01  1.05757072e+02  3.59731903e+02  2.20350596e+00]",26,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.54433670e+01 -2.79968858e+00 -3.26204376e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.01501143e+00  1.02927002e+02  3.58351990e+02  1.37559667e+01]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 83.85135651  -3.53774619 -39.85178375   0.           0.
   0.2         12.           1.           0.70803386 123.83979797
   0.61448699   7.56456649]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.29322418e+02 -4.09058237e+00 -5.40901031e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  6.54741585e-01  9.70509186e+01  3.59965179e+02  8.49886719e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.81614578e+02 -4.71986628e+00 -6.70684967e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.49254465e-01  1.05059746e+02  1.66353330e-01  9.95251428e+00]",48,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.44936768e+02 -5.86657476e+00 -8.39834900e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.72694135e-01  1.04901733e+02  3.59695648e+02  1.17274035e+01]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.11266968e+02 -7.01441622e+00 -1.02137276e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.65444922e-01  1.04968872e+02  3.59823364e+02  1.03251722e+01]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.35407745e+02 -7.35258245e+00 -1.05981354e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.24617243e-01  8.34231339e+01  3.59700104e+02  4.88659549e-01]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.44939819e+02 -7.51913118e+00 -9.31207886e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.57259186e+02  1.36064444e+01  4.20140314e+00  2.63897186e+00]",29,by model,1.0,OBSTACLE,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.45437408e+02 -7.43207836e+00 -9.01597443e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.58201447e+02  1.18028765e+01  1.10405588e+01  4.24480601e-04]",12,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.45437378e+02 -7.43197298e+00 -9.01597748e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  3.58205078e+02  1.18177347e+01  1.10352774e+01  4.19393218e-04]",29,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.45437378e+02 -7.43199301e+00 -9.01597824e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  3.58203552e+02  1.18315935e+01  1.10332747e+01  3.84129543e-04]",29,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
